"time","altitude","latitude","longitude","chlorophyll","date"
"2024-01-01T00:00:00Z",0,36.375,-122.375,0.8882885,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.3625,0.85101473,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.35,0.77353454,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.3375,0.803971,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.325,0.79876477,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.3125,0.7934768,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.3,0.7228569,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.2875,0.8503492,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.275,0.9190561,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.2625,0.7428308,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.25,0.80274177,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.2375,0.7405452,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.225,0.8133553,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.2125,0.94209856,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.2,0.83130425,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.1875,0.6805449,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.175,0.8020802,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.1625,0.9629243,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.15,1.0417758,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.1375,1.6298093,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.125,0.8484583,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.1125,0.79086614,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.1,9.706905,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.0875,0.6905783,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.075,0.80048925,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.0625,0.949846,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.05,0.83046746,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.0375,0.87540233,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.025,0.9804554,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122.0125,1.2275709,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-122,2.845487,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.9875,2.7552962,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.975,1.292125,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.9625,0.9910853,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.95,1.2232465,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.9375,1.4017022,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.925,1.9329954,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.9125,2.0166698,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.9,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.8875,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.875,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.8625,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.85,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.8375,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.825,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.8125,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.8,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.7875,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.775,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.7625,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.75,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.7375,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.725,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.7125,NA,2024-01-01
"2024-01-01T00:00:00Z",0,36.375,-121.7,NA,2024-01-01
